State,Avg. Salary
Alabama,36862.71089
Alaska,42952.83778
Arizona,40732.87794
Arkansas,34104.97035
California,48770.94786
Colorado,45251.25967
Connecticut,47012.53361
Delaware,42229.29271
District of Columbia,57168.51064
Florida,39654.62793
Georgia,42082.92405
Hawaii,37630.76267
Idaho,31670.14918
Illinois,45913.79081
Indiana,37854.13985
Iowa,34591.84163
Kansas,36689.69991
Kentucky,35273.84173
Louisiana,37853.26433
Maine,34681.75308
Maryland,44752.82356
Massachusetts,49923.10166
Michigan,41482.09877
Minnesota,42089.86791
Mississippi,32974.3871
Missouri,38282.00401
Montana,32019.97337
Nebraska,35822.59901
Nevada,40603.5791
New Hampshire,41465.19227
New Jersey,49332.21624
New Mexico,36521.13173
New York,50780.71566
North Carolina,40782.40426
North Dakota,32689.78105
Ohio,40199.60609
Oklahoma,36893.21257
Oregon,38970.7131
Pennsylvania,42674.58263
Rhode Island,37983.32002
South Carolina,36050.67959
South Dakota,31308.21072
Tennessee,37938.54856
Texas,43251.03561
Utah,37846.00275
Vermont,34846.83016
Virginia,45514.31542
Washington,44263.58213
West Virginia,32839.72228
Wisconsin,38003.24343
Wyoming,35726.29436
Grand Total,39834.14666